strain,cell_area(um^2)
yHRWh56,25.879
yHRWh56,NA
yHRWh7,61.85
yHRWh7,79.577
yHRWh7,103.256
yHRWh7,58.486
yHRWh7,32.219
yHRWh7,79.706
yHRWh7,68.837
yHRWh7,141.426
yHRWh7,71.813
yHRWh7,60.944
yHRWh7,55.51
yHRWh7,59.262
yHRWh7,68.578
yHRWh7,64.567
yHRWh7,66.896
yHRWh7,33.125
yHRWh7,55.251
yHRWh7,54.863
yHRWh7,81.647
yHRWh7,58.227
yHRWh7,53.569
yHRWh7,90.575
yHRWh7,54.863
yHRWh7,48.522
yHRWh7,47.746
yHRWh7,27.949
yHRWh7,65.99
yHRWh7,30.796
yHRWh7,50.851
yHRWh7,68.837
yHRWh7,35.324
yHRWh7,79.447
yHRWh7,25.102
yHRWh7,61.462
yHRWh7,31.313
yHRWh7,167.952
yHRWh7,70.26
yHRWh7,72.848
yHRWh7,75.565
yHRWh7,50.463
yHRWh7,42.958
yHRWh7,81
yHRWh7,37.395
yHRWh7,52.145
yHRWh7,40.371
yHRWh7,46.323
yHRWh7,140.779
yHRWh7,55.251
yHRWh7,59.262
yHRWh7,63.144
yHRWh7,51.11
yHRWh7,44.641
yHRWh7,86.564
yHRWh7,44.77
yHRWh7,52.922
yHRWh7,105.196
yHRWh7,51.628
yHRWh7,65.085
yHRWh7,41.406
yHRWh7,68.19
yHRWh7,49.04
yHRWh7,58.874
yHRWh7,27.561
yHRWh7,38.947
yHRWh7,64.049
yHRWh7,49.557
yHRWh7,28.596
yHRWh7,67.931
yHRWh7,35.195
yHRWh7,32.478
yHRWh7,56.157
yHRWh7,60.944
yHRWh7,104.808
yHRWh7,99.244
yHRWh7,45.934
yHRWh7,49.557
yHRWh7,30.925
yHRWh7,25.749
